行政區,路名,段、號及其他註明,經度,緯度,備註
北投區,北投路,1段與公館路口,121.50254,25.1214,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段與公館路口,121.50254,25.1214,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,423巷口對面,121.50238,25.12087,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文承路,中正高中圍牆旁,121.515619,25.10508,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文承路,文林國小牆旁,121.515601,25.10512,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段立農公園前路橋上,121.5030556,25.11778,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段立農公園前路橋上,121.5033333,25.11806,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文承路,中正高中圍牆旁,121.515619,25.10508,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文承路,文林國小牆旁,121.515601,25.10512,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,20號前,121.4994,25.12333,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,65巷口旁,121.499064,25.12328,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,695號前左側,121.499789,25.13711,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段30號前,121.501286,25.12368,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段有有有熱炒店對面公車站牌左側,121.500642,25.12694,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,2段3號公園後左側,121.49803,25.132,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,2段3號公園後右側,121.497585,25.13186,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,幽雅路,杏林巷口,121.515662,25.13754,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,立德路,大愛電視台公車站旁,121.471385,25.12358,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,立德路,大愛電視台公車站旁,121.47138,25.1235,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,立德路,慈濟志業中心公車站旁,121.471592,25.12389,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,立德路,慈濟志業中心公車站旁,121.471581,25.12382,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,幽雅路,杏林巷口旁,121.514185,25.13868,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,行義路,402巷口斜對面,121.527744,25.14032,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,紗帽路,141巷23號前,121.545045,25.15194,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,東昇路,34號對面,121.524427,25.1491,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,文林國小圍牆旁,121.51562,25.10534,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,中正高中圍牆旁,121.516033,25.10501,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段322號旁(榮光新村站),121.52275,25.11979,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段臨30號前右側,121.501289,25.12369,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,352號對面公車站牌,121.504769,25.12308,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,行義路,椰林公車站牌旁,121.528164,25.13762,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,湖山路,1段橫嶺古道公車站牌旁,121.541456,25.1517,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,立德路,大愛電視台公車站旁,121.471365,25.12353,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,立德路,慈濟志業中心公車站旁,121.47161,25.12383,嚴禁投入家用垃圾，違者重罰新台幣6000元
